char,minx,maxx,miny,maxy,text_id,page
e,190.41000000000003,195.97000000000003,662.6339999999999,672.6339999999999,3,0
c,195.97000000000003,200.97000000000003,662.6339999999999,672.6339999999999,3,0
h,200.97000000000003,206.53000000000003,662.6339999999999,672.6339999999999,3,0
a,206.53000000000003,212.09000000000003,662.6339999999999,672.6339999999999,3,0
n,212.09000000000003,217.65000000000003,662.6339999999999,672.6339999999999,3,0
i,217.65000000000003,219.87000000000003,662.6339999999999,672.6339999999999,3,0
c,219.87000000000003,224.87000000000003,662.6339999999999,672.6339999999999,3,0
s,224.87000000000003,229.87000000000003,662.6339999999999,672.6339999999999,3,0
 ,229.87000000000003,232.65000000000003,662.6339999999999,672.6339999999999,3,0
t,232.65000000000003,235.43000000000004,662.6339999999999,672.6339999999999,3,0
u,235.43000000000004,240.99000000000004,662.6339999999999,672.6339999999999,3,0
t,240.99000000000004,243.77000000000004,662.6339999999999,672.6339999999999,3,0
o,243.77000000000004,249.33000000000004,662.6339999999999,672.6339999999999,3,0
r,249.33000000000004,252.66000000000005,662.6339999999999,672.6339999999999,3,0
i,252.66000000000005,254.88000000000005,662.6339999999999,672.6339999999999,3,0
a,254.88000000000005,260.44000000000005,662.6339999999999,672.6339999999999,3,0
l,260.44000000000005,262.6600000000001,662.6339999999999,672.6339999999999,3,0
s,262.6600000000001,267.6600000000001,662.6339999999999,672.6339999999999,3,0
.,267.6600000000001,270.44000000000005,662.6339999999999,672.6339999999999,3,0
 ,270.44000000000005,273.22,662.6339999999999,672.6339999999999,3,0
M,273.22,281.55,662.6339999999999,672.6339999999999,3,0
o,281.55000000000007,287.11000000000007,662.6339999999999,672.6339999999999,3,0
r,287.11000000000007,290.44000000000005,662.6339999999999,672.6339999999999,3,0
e,290.44000000000005,296.00000000000006,662.6339999999999,672.6339999999999,3,0
 ,296.0000000000001,298.7800000000001,662.6339999999999,672.6339999999999,3,0
t,298.7800000000001,301.56000000000006,662.6339999999999,672.6339999999999,3,0
e,301.56000000000006,307.12000000000006,662.6339999999999,672.6339999999999,3,0
x,307.1200000000001,312.1200000000001,662.6339999999999,672.6339999999999,3,0
t,312.1200000000001,314.9000000000001,662.6339999999999,672.6339999999999,3,0
.,314.9000000000001,317.68000000000006,662.6339999999999,672.6339999999999,3,0
 ,317.68000000000006,320.46000000000004,662.6339999999999,672.6339999999999,3,0
A,320.4600000000001,327.1300000000001,662.6339999999999,672.6339999999999,3,0
n,327.1300000000001,332.6900000000001,662.6339999999999,672.6339999999999,3,0
d,332.6900000000001,338.2500000000001,662.6339999999999,672.6339999999999,3,0
 ,338.2500000000001,341.0300000000001,662.6339999999999,672.6339999999999,3,0
m,341.0300000000001,349.36000000000007,662.6339999999999,672.6339999999999,3,0
